scaling,power_p,band,frequency_hz,alpha,P_convert_total_D,P_two_wall_forward_echo,P_reflect_C,P_transmit_C
constant_delta_lambda,-1.0,radio_1GHz,1.000000000e+09,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
constant_delta_lambda,-1.0,mm_100GHz,1.000000000e+11,1.000000000e-04,1.999999960e-08,9.999999600e-17,9.999999800e-17,9.999999800e-01
constant_delta_lambda,-1.0,infrared_30THz,3.000000000e+13,3.333333333e-07,2.222222222e-13,1.234567901e-26,1.234567901e-26,1.000000000e+00
constant_delta_lambda,-1.0,optical_500THz,5.000000000e+14,2.000000000e-08,8.000000000e-16,1.600000000e-31,1.600000000e-31,1.000000000e+00
constant_delta_lambda,-1.0,xray_1keV,2.417989000e+17,4.135668111e-11,3.420750145e-21,2.925382888e-42,2.925382888e-42,1.000000000e+00
constant_delta_lambda,-1.0,gamma_1GeV,2.417989000e+23,4.135668111e-17,3.420750145e-33,2.925382888e-66,2.925382888e-66,1.000000000e+00
omega_delta_lambda,0.0,radio_1GHz,1.000000000e+09,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
omega_delta_lambda,0.0,mm_100GHz,1.000000000e+11,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
omega_delta_lambda,0.0,infrared_30THz,3.000000000e+13,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
omega_delta_lambda,0.0,optical_500THz,5.000000000e+14,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
omega_delta_lambda,0.0,xray_1keV,2.417989000e+17,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
omega_delta_lambda,0.0,gamma_1GeV,2.417989000e+23,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
time_derivative_delta,1.0,radio_1GHz,1.000000000e+09,1.000000000e-02,1.999600060e-04,9.996001000e-09,9.998000300e-09,9.998000300e-01
time_derivative_delta,1.0,mm_100GHz,1.000000000e+11,1.000000000e+00,5.000000000e-01,6.250000000e-02,2.500000000e-01,2.500000000e-01
time_derivative_delta,1.0,infrared_30THz,3.000000000e+13,3.000000000e+02,2.222172840e-05,1.234513033e-10,9.999777781e-01,1.234540467e-10
time_derivative_delta,1.0,optical_500THz,5.000000000e+14,5.000000000e+03,7.999999360e-08,1.599999744e-15,9.999999200e-01,1.599999872e-15
time_derivative_delta,1.0,xray_1keV,2.417989000e+17,2.417989000e+06,3.420750145e-13,2.925382888e-26,1.000000000e+00,2.925382888e-26
time_derivative_delta,1.0,gamma_1GeV,2.417989000e+23,2.417989000e+12,3.420750145e-25,2.925382888e-50,1.000000000e+00,2.925382888e-50
