target_delay,delta_t_s,xi,D_over_C,required_D_segment_m,required_D_segment_km
1_ns,1.000000000e-09,1.000000000e+00,1.414213562e+00,1.023555476e+00,1.023555476e-03
1_ns,1.000000000e-09,1.000000000e-03,1.000499875e+00,6.000345672e+02,6.000345672e-01
1_ns,1.000000000e-09,1.000000000e-06,1.000000500e+00,5.995853656e+05,5.995853656e+02
1_ns,1.000000000e-09,1.000000000e-09,1.000000001e+00,5.995848664e+08,5.995848664e+05
1_us,1.000000000e-06,1.000000000e+00,1.414213562e+00,1.023555476e+03,1.023555476e+00
1_us,1.000000000e-06,1.000000000e-03,1.000499875e+00,6.000345672e+05,6.000345672e+02
1_us,1.000000000e-06,1.000000000e-06,1.000000500e+00,5.995853656e+08,5.995853656e+05
1_us,1.000000000e-06,1.000000000e-09,1.000000001e+00,5.995848664e+11,5.995848664e+08
1_ms,1.000000000e-03,1.000000000e+00,1.414213562e+00,1.023555476e+06,1.023555476e+03
1_ms,1.000000000e-03,1.000000000e-03,1.000499875e+00,6.000345672e+08,6.000345672e+05
1_ms,1.000000000e-03,1.000000000e-06,1.000000500e+00,5.995853656e+11,5.995853656e+08
1_ms,1.000000000e-03,1.000000000e-09,1.000000001e+00,5.995848664e+14,5.995848664e+11
1_s,1.000000000e+00,1.000000000e+00,1.414213562e+00,1.023555476e+09,1.023555476e+06
1_s,1.000000000e+00,1.000000000e-03,1.000499875e+00,6.000345672e+11,6.000345672e+08
1_s,1.000000000e+00,1.000000000e-06,1.000000500e+00,5.995853656e+14,5.995853656e+11
1_s,1.000000000e+00,1.000000000e-09,1.000000001e+00,5.995848664e+17,5.995848664e+14
